English,Gloss_Translation
"We use the latest artificial intelligence techniques to translate transport announcements into sign language, automatically and in realtime",SIGNAPSE RECENT NEW AI TECHNOLOGY TRANSLATE TRANSPORT ANNOUCEMENT INFORM SIGNING REAL PARALLEL QUICKENING
"Signapse technology can translate your website content into sign language, making information about your products and services instantly accessible to the Deaf community",SIGNAPSE TECHNOLOGY CAN YOUR WEBSITE INFORMATION CONTENT PRODUCT SERVICE CHANGE SIGNING TRANSLATE DEAF COMMUNITY ACCESS HAVE
"Sign language translation can be provided for your whole website, or certain pages, and is presented via a signer overlay which can be activated by the user",YOUR WEBSITE ALL PAGES OR FEW CAN WHICH YOU CLICK-MOUSE SCREEN-POP-OUT SIGNING TRANSLATION
"Our integration process is easy, with only a single line of code required",FACT MERGE SET-UP EASY ONE SENTENCE CODE CODE FINALLY SET-UP YOUR WEBSITE TRANSLATION HAVE
"Our solution can be implemented at train stations, bus stations, airports and more, making it easy to provide 24/7 sign language translation at a fraction of its usual cost",SIGNING SET-UP WHERE TRAIN STATION BUS STATION AIRPORT MULTIPLE-DIFFERENT FACT EASY TWENTY-FOUR FORESLASH SEVEN SIGNING COST CHEAP
"Currently available in both BSL & ASL, we are working to make the worldís public spaces accessible to Deaf passengers",SIGNING AVAILABLE BOTH-TWO-FINGERS LIST BSL LIST ASL ME EXCITED AIM ALL PUBLIC POINT POINT POINT POINT SIGNING HAVE
"Information about departures, disruptions or emergencies is typically only given to passengers in written or audio form",INFORMATION INFORM LEAVE DESTROY EMERGENCY HOW INFORM READ OR SOUND MICROPHONE SPEECH
"We make these announcements accessible to the Deaf community and create a safer, more positive and more inclusive travel experience",WE CHANGE INFORM INFORMATION SIGNING TRANSLATE WE DEAF COMMUNITY FINALLY ACCESS HAVE MAKE-SURE JOURNEY SAFE INCLUSIVE POSITIVE
"99% of websites are not accessible for Deaf people, who rely on sign languages for communication and can struggle to understand written text",NINE NINE PERCENT WEBSITE NOTHING TRANSLATE SIGNING DEAF COMMUNITY FAVOURITE SIGNING FACT FORWARD READ TEXT SCRIPT
Enter your Website URL below to get a quote to add sign language translation,WANT QUOTE SIGNING IN-VISION TYPE PUT YOUR WEBSITE URL SENTENCE POINT-BELOW
?You can see live examples of our product on some of our client sites below,HAVE-A-LOOK MINE PRODUCT MULTIPLE-DIFFERENT CLIENT CLIENT CLIENT POINT-BELOW
"If you would like to make your website more accessible for the Deaf community, please complete†the form to the right",YOU WANT INTERNET ACCESS DEAF COMMUNITY SIGNING TYPE PICTURE-FRAME RIGHT POINT-RIGHT
"Captioned videos are not fully accessible to the Deaf community, who overwhelmingly prefer a sign language translation",VIDEO CAPTIONS FORWARD READ DEAF COMMUNITY FAVOURITE SIGNING TRANSLATE IN-VISION
"Signapse technology can add signed translations to your videos, using a pictureinpicture setup",SIGNAPSE TECHNOLOGY CREATE SIGNING IN-VISION HOW YOUR VIDEO PICTURE-FRAME SIGNING IN-VISION SMALL
"With a twoday turnaround, our technology is easy to use and delivers sign language translation quickly",FACT EASY QUICK SIGNING TRANSLATE CREATE IN-VISION VIDEO TWO DAY
"Adding a signed translation to your video improves accessibility for Deaf users, increasing the audience you can reach and the impact of your content",YOUR VIDEO SIGNING IN-VISION FACT DEAF COMMUNITY ATTENTION ACCESS HAVE SPREAD
"If you would like to automatically add signed translations to your videos, please get in touch below",YOUR VIDEO SIGNING IN-VISION WANT YOU PLEASE CONTACT POINT-BELOW
Our venture partners are social business entrepreneurs and we're proud to work with them,OUR VENTURE PARTNER THEY SOCIAL BUSINESS PERSON WE PROUD WORK WITH
Read more about the impact they are making,HAVE-A-LOOK THEIR COMPANIES AMAZING IMPACT
They aim to translate all the worldís written content into Sign,AIM WORLD ALL CONTENT TRANSLATE SIGN-LANGUAGE
"Founded in 2018, Loop Health is the first health insurance provider in India with an inhouse medical team that helps companies care for their employees with unlimited primary care, telemedicine, and preventive medicine",SET-UP TWO-ZERO-EIGHTEEN LOOP HEALTH THEY FIRST INSURANCE SERVICE WHERE INDIA THAT HAVE OWN MEDICAL TEAM SUPPORT THEM COMPANIES LOOK THEIR STAFF WHAT LIST LIST PRIMARY CARE LIST TELEMEDICINE LIST PREVENT MEDICINE NOTHING LIMIT
"BelleVie, based in the UK, supports older people to thrive at home",BELLEVIE SET-UP UK THEY SUPPORT OLDER PEOPLE GROW THEIR HOME
"Provides high levels of autonomy and wages to its team members, while supporting families",THEY STAFF HIGH-STANDARD DECISION INDEPENDENCE CARRY-ON PAY WAGES GO-OUT SUPPORT FAMILIES
"Founded in the UK by Lee Wakeham, an exoffender aiming to ëbring out the good insideí by employing exoffenders to make and sell delicious handmade Cornishstyle pasties",SET-UP UK WHO PERSON NAME LEE WAKEHAM BEFORE TROUBLE AIM WHAT RECRUIT PEOPLE THEY REFLECT INSIDE-SOUL GOOD HUMAN EXPRESS MAKE SELL DELICIOUS CORNISH PASTIES
We're always seeking new partnerships,WE ALWAYS EXPLORE NEW PARTNER CONNECT
Read our venture partner criteria below,HOW JOIN VENTURE PARTNER HAVE-A-LOOK OUR CRITERIA
It's a very supporting place for you to work in,SUPPORT PLACE WORK
"We've got a women's network, an LGBT network, a minoritised ethnic group called Ed Race",HAVE WOMEN NETWORK LGBT NETWORK MINORITISE ETHNIC GROUP NAME ED FS:RACE
We've got a disabilities network,HAVE DISABILITY NETWORK
"So some of the more disadvantaged elements or people within society are represented through staff networks, within the institution",MANY THEM EXCLUDE ELEMENT OR PEOPLE THEM SOCIETY REPRESENT HOW THROUGH STAFF NETWORK WHERE UNIVERSITY POINT-LEFT
We've done lots of work,BEEN LOTS WORK
"We've got EDI leads, we've got minoritised ethnic leaders within the schools",WE HAVE EDI LEAD ALSO MINORITISE ETHNIC LEADER IN SCHOOL
We have access and participation plans that we work towards,ALSO HAVE ACCESS PARTICIPATION PLAN TOWARDS
"We've just recently taken on a Pro ViceChancellor for equity, diversity and inclusion",RECENT BRING PRO CHANCELLOR WHAT EQUALITY DIVERSITY INCLUSION
So it's something that we definitely take seriously,ALP WE THINK SERIOUS
"We have students from all walks of life, from different countries",WE HAVE STUDENTS DIFFERENT LIFE DIFFERENT COUNTRIES
"They tell their friend, look, if you are going to the United Kingdom, just apply for University of Salford",TELL FRIENDS COME UK PLEASE APPLY UNIVERSITY SALFORD
"I think Salford is a really welcoming place, I think that we have really great strengths in welcoming people from all walks of life",POINT-THIS SALFORD ALP AMAZING WELCOME PLACE ALP VEE STRONG WELCOME-MULTIPLE DIFFERENT PEOPLE DIFFERENT-ROUTE LIFE
Thereís great kind of diversity across all kinds of identity markers,AMAZING WIDE-RANGE DIVERSITY ALP DIFFERENT IDENTITY
In our student body and increasingly in our staff body,MY STUDENT GROUP-RIGHT STAFF GROUP-LEFT
"I was recently diagnosed with ADHD and autism, after facing many challenges over the years and not fully understanding why",ME RECENT DIAGNOSIS ADHD AND AUTISM-BRAIN DIFFICULT MANY FULL NOT-UNDERSTAND WHY
"Flexible working has really, really helped me with my challenges",FLEXIBLE WORK AMAZING HELP CHALLENGE AT-LAST
"I have to say since we had the first lockdown and I was working completely from home, that's when I really felt like I came into my own because I didn't have the additional pressures of masking and everything that surrounds that, with my neurodiverse conditions",POINT-THIS HAPPEN LOCKDOWN COVID ME WORK FROM HOME FULL TIME PROGRESS FEEL AMAZING PRESSURE-FREE NOTHING PRESSURE ME COVER ME NEURODIVERSE COVER COVER HIDDEN I-AM-FINE NOTHING
The best thing about working at Salford for me is the flexibility that I have,BEST THING ME WORK SALFORD POINT-LEFT WHAT FLEXIBLE
I also have some reasonable adjustments in place that mean I can work reduced hours when I need to and I've had some really positive conversations with my line manager about those adjustments,ME HAVE REASONABLE ADJUSTMENTS MEAN CAN REDUCE WORK HOURS WHEN ME NEED ME AMAZING POSITIVE CONVERSATION WHO WITH KEY MANAGER POINT-LEFT ABOUT MY ADJUSTMENTS
"They've been really supportive and flexible to allow me to explore what I needed as a professional because that changes and they've been really supportive about that, we've been able to collaborate on that",THEM BEEN SUPPORT FLEXIBLE ALLOW ME RESEARCH EXPLORE WHAT ME NEEDS PERSON PROFESSIONAL BECAUSE BECAUSE CHANGE POINT-LEFT AMAZING SUPPORTIVE CONNECT
So the flexibility has been really valued,FLEXIBLE POINT-DOWN AMAZING INVALUABLE
"I think what really strikes me about equality, diversity and inclusion at Salford, it's not just about kind of saying that everyone's welcome, it's actually having uncomfortable conversations",POINT-THIS EQUALITY DIVERSITY INCLUSION WHERE SALFORD WE WELCOME-MULTIPLE ALSO PROACTIVE PROCESS DIFFICULT CONVERSATION CAN
"For example, one of my colleagues runs an antiracism discussion group",EXAMPLE NO ME COLLEAGUES POINT-LEFT RUN ANTI RACE DISCUSSION GROUP
"It's actually to white colleagues, but the discussion group is amazing",ALP THEM WHO WHITE DISCUSS AMAZING
And I think that takes a lot of courage,POINT-LEFT MANAGE ALP BRAVE
"There's a real nuance and depth and a willingness to have uncomfortable conversations and to bring the right people into those conversations, which to me is EDI as its best",AMBIGUOUS DEPTH PROACTIVE PROCESS GROUP BRING-IN-MULTIPLE RIGHT PEOPLE CONVERSATION DIFFICULT CONVERSATION POINT-THIS EDI BEST
"Iíve been incredibly impressed with the health and wellbeing support here at Salford, both in terms of how open they are about mental health and all of the services that they offer, so, the Employee Assistance Programme, access to counselling, Mental Health Awareness Week",ME AMAZING IMPRESSED HEALTH WELLBEING SUPPORT POINT-BELOW SALFORD POINT-LEFT TALK-MULTIPLE OPEN MENTAL ALSO DIFFERENT LIKE EMPLOYEE ASSISTANCE PROGRAMME ACCESS COUNSELLING MENTAL HEALTH AWARENESS WEEK
"It's really nice to be at a place that values that and sees you as a whole person, not just as an employee, but supporting your wellbeing can really help you to do the best that you can do whilst at work",REALLY NICE PLACE WORK ALP VALUE SEE ME SUMMARY PERSON NOT JUST STAFF ALP SUPPORT MY WELLBEING MEAN IMPROVE-UP PROCESS IMPROVE WORK
"They're very supportive in terms of flexible working as well, being a single dad firsthand, I can experience how accommodating the University is to my working environment",ALP SUPPORTIVE WHAT MY WORK FLEXIBLE ALSO DAD ME AMAZING THANKS POINT-LEFT UNIVERSITY SUPPORT-ME MY WORK ENVIRONMENT
Several years ago my daughter was hospitalised for a couple of weeks and the University were very supportive of me during that time,MANY YEARS AGO MY DAUGHTER HOSPITALISE HOSPITAL FEW WEEK UNIVERSITY AMAZING SUPPORT THROUGH THAT TIME
I feel like I was supported from the very beginning,ME FEEL FROM START SUPPORT STRAIGHTAWAY
"And so, that started with conversations about reasonable adjustments, since I have a disability, I needed some reasonable adjustments to be able to perform my role at my best capacity",SO START CONVERSATION ABOUT REASONABLE ADJUSTMENTS BECAUSE ME HAVE DISABILITY ME NEED REASONABLE ADJUSTMENTS MEAN CAN MY ROLE HIGH-LEVEL PROCESS
"And so we had some really positive and constructive conversations even before I was hired and during the recruitment process, which gave me a really good impression of the University",BEEN POSITIVE CONVERSATION CONSTRUCTIVE CONVERSATION BEFORE START OFFER JOB ALSO THROUGH RECRUITMENT PROCESS ALP IMPRESSED UNIVERSITY THAT-IS-IT
And then that flexibility and support has continued once I was hired,THAT-IS-IT FLEXIBLE SUPPORT CONTINUE THROUGH OFFER JOB
"And I'm also part of the Mental Health First Aider network as well, which is a network of over 100 colleagues across the University who can help other colleagues when they're having a bad mental health day",ALSO ME PART MENTAL-HEALTH FIRST-AID NETWORK THEM OVER ONE-HUNDRED COLLEAGUES SUPPORT UNIVERSITY AREA ALP COLLEAGUES BAD MENTAL-HEALTH DAY
"Weíve got the Wellbeing Department, so all this, kind of, wellbeing service, you can book in very easily via our staff hub",HAVE WELLBEING DEPARTMENT POINT-DOWN ALP SERVICE WELLBEING SERVICE CAN BOOK EASY THROUGH WHAT STAFF HUB
"I'm a parent, I have two children, and so I am able to say when I can and can't start work in the mornings because of school drop offs and things",ME SINGLE FATHER ME HAVE TWO CHILDREN CAN TELL WHEN ME CAN OR CANT START WORK MORNING BECAUSE ME SCHOOL DROP-OFF OR THINGS HAPPEN
And then my teaching timetable can be arranged around that,MY TEACH TIMETABLE CAN CHANGE ARRANGE
It's a really supportive place for health and wellbeing,ALP POINT-THIS SUPPORTIVE PLACE HEALTH WELLBEING
What is the weather like today in London?,TODAY WEATHER LONDON WHAT
Tomorrow I will go to the supermarket,TOMORROW SUPERMARKET ME GO
Yesterday I went to the train station,YESTERDAY TRAIN STATION ME GO
I am going to the train station,NOW TRAIN STATION ME GO
"This means taking ownership, saying Thank You, fixing problems, realising that the contributions of all people are equal, working ethically, using our language with care, being punctual, communicating when there are issues",POINT-THIS MEAN WHAT WORK ROLLING-FORWARD MINE ALSO RESOLVE PROBLEMS MANY PEOPLE CONTRIBUTE THEY EQUAL WORK BACKGROUND LOOK LANGUAGE TIME PUNCTUAL COMMUNICATE ALL IF HAPPEN PROBLEMS.
We are transparent and work with integrity,WE OPEN ALSO WORK RESPONSIBLE
Fill in the form below and be the first to know when we launch our Video Translation Platform,PAGE-PAPER FILL THIS-POINT-DOWN MEAN YOU KNOW WHEN LAUNCH OUR VIDEO TRANSLATION PLATFORM
Form successfully submitted,FILL SUBMIT SUCCESSFUL
Thank you,THANK
"Enhance the travel experience for Deaf passengers with our digital sign language displays, available in BSL and ASL",IMPROVE TRAVEL EXPERIENCE FOR-WHO DEAF PASSENGERS HOW OUR PICTURE-FRAME DISPLAY DIGITAL SIGN-LANGUAGE CAN BOTH BSL ASL
Large dataset of sign language,MANY SIGNING DATA COLLECTION
Video selection,CHOOSE WHICH VIDEO
Our artificial intelligence technology chooses a combination of sign language videos based on the content provided,OUR AI FAKE CLEVER TECHNOLOGY CHOOSE VARIETY SIGNING VIDEO MATCH SCRIPT
AI-powered blending,AI USE BLEND
"Signapse uses AI solutions to blend the selected videos together perfectly, ensuring realistic transitions and accurate grammar",SIGNAPSE USE AI CHOOSE VIDEO PERFECT BLEND MAKE-SURE LOOK REAL ALSO PERFECT GRAMMAR
"The Signapse Translation Suite integrates into your workflow, showing sign language videos on screens, brand videos, and websites, providing accessibility to information and services for the d/Deaf community",SIGNAPSE TRANSLATION SOFTWARE INTEGRATE YOUR WORK PROCESS WILL SHOW SIGNING IN-VISION SCREEN BRAND-LABEL VIDEO ALSO WEBSITE THIS MEAN DEAF COMMUNITY HAVE ACCESS INFORMATION
Can we use cookies?,CAN WE USE COOKIES
Customize your preferences,YOU CAN ADJUSTMENT PREFERENCE
Flutter Entertainment's Alpha Hub Awards 2023,TECH FOUR GOOD AWARD FLUTTER ENTERTAINMENT ALPHA HUB AWARD TWO-ZERO-TWO-THREE
How did you hear about Signapse? *,HOW YOU FIND ABOUT SIGNAPSE
Submit message,SUBMIT MESSAGE
US airports and 50 global airlines offering instant ASL translations,AMERICA AIRPORT ALSO FIFTY WORLD FLIGHT OFFER WHAT QUICK ASL SIGNING TRANSLATION
"We will confirm the language and any special requests, such as background colour",WE WILL CONFIRM WHICH LANGUAGE ALSO ANY SPECIAL REQUEST EXAMPLE BACKGROUND COLOUR
How it all started,SIGNAPSE COMPANY START HOW
Signapse is building technology for tomorrow that answers the needs of today,SIGNAPSE CREATE TECHNOLOGY WHAT-FOR FUTURE PROBLEMS RESOLVE
"We are a strong team of successful entrepreneurs, leading AI researchers, and translation experts",WE TEAM STRONG LIKE-WHO PEOPLE BUSINESS SUCCESS IMPORTANT WHAT AI RESEARCH ALSO TRANSLATION EXPERT-SKILL
What do we believe in?,WE BELIEVE WHAT
Awards,AWARD
Surrey Business Awards 2022 Start-Up of the Year,SURREY BUSINESS AWARD TWENTY-TWENTY-TWO WIN WHAT SET-UP OF YEAR
The Dynamic Awards 2023 Finalist,VARIETY AWARD TWO-ZERO-TWO-THREE FINAL-AS-SCORE
Who are we?,WE WHO
Sally Chalk,SALLY CHALK
CEO,PERSON CHIEF EXECUTIVE
Ben Saunders,BEN SAUNDERS
CTO,PERSON HEAD-BOSS TECHNOLOGY OFFICER
Chief Research Officer,PERSON HEAD-BOSS RESEARCH OFFICER
Rachel Benyon,RACHEL BENYON RACHEL-BENYON
Head of Translation and Data,HEAD-BOSS TRANSLATION DATA
Leia Clancy,LEIA CLANCY
Head of Growth,HEAD-BOSS GROWTH
Stacey Searle,STACEY SEARLE
Head of Marketing,HEAD-BOSS MARKETING
Suzie Campbell,SUZIE CAMPBELL SUZIE-CAMPBELL
CFO,PERSON HEAD-BOSS FINANCE OFFICER
Peter Whale,PETER WHALE PETER-WHALE
Head of Projects,HEAD-BOSS PROJECT
VP of Engineering,VP ENGINEERING
Joe Matusiak,JOE MATUSIAK
Head of Grants,PERSON HEAD-BOSS GRANT
And others,OTHERS
Edmund Lepre,EDMUND LEPRE
Machine Learning Engineer,MACHINE-LEARNING ENGINEER
Basheer Alwaely,BASHEER ALWAELY
Deep Learning Research Engineer,DEEP LEARNING RESEARCH ENGINEER
Marcus Oaten,MARCUS OATEN MARCUS-OATEN
Deaf Impact Officer,PERSON DEAF IMPACT OFFICER
Alexandru Balau,ALEXANDRU BALAU
Front End Engineer,FRONT-END ENGINEER
Marcel Niebylski,MARCEL NIEBYLSKI MARCEL-NIEBYLSKI
Front End Developer,FRONT-END DEVELOPER
Zoe Hurst,ZOE HURST ZOE-HURST
Product Manager,PERSON PRODUCT MANAGER
Rowan Warnock,ROWAN WARNOCK ROWAN-WARNOCK
Videographer,PERSON VIDEO EDIT
Lauren Feeney,LAUREN FEENEY LAUREN-FEENEY
Deaf Translator,DEAF TRANSLATOR
Samantha Kenward,SAMANTHA KENWARD
Help us make sign language accessible for anyone,EVERYONE NEED SIGNING ACCESS HELP US IMPROVE
Available positions,JOB ROLE HAVE WHAT
Investment Board members,INVESTMENT BOARD-PEOPLE MEMBER
Deeptech Seed Fund,DEEP TECH SET-UP FUND
The FSE Group,FSE GROUP
Social Business Builders,SOCIAL BUSINESS CREATE
Growth Works,EXPAND WORK
Alex Le Peltier,ALEX LE PELTIER ALEX-LE-PELTIER
We are unique and the best in the globe,WE ALP UNIQUE BEST WORLD.
This means doing everything as fast as possible and always coming up with new ways of improving processes either for internal working and to delight our clients,POINT-BELOW MEAN EVERYTHING WORK-HARD PROCESS QUICK ALSO ALWAYS NEW IDEAS IMPROVE PROCESS WHAT-FOR INTERNAL WORK ALSO MAKE-SURE CLIENT HAPPY
"This means taking ownership, saying ìThank Youî, fixing problems, realising that the contributions of all people are equal, working ethically, using our language with care, being punctual, communicating when there are issues",POINT-THIS MEAN WHAT WORK ROLLING-FORWARD MINE ALSO RESOLVE PROBLEMS MANY PEOPLE CONTRIBUTE THEY EQUAL WORK BEHAVIOUR LOOK LANGUAGE TIME PUNCTUAL COMMUNICATE ALL IF HAPPEN PROBLEMS
We are transparent and work with integrity,WE OPEN ALSO RESPONSIBLE
Launching soon - video translation platform,SOON PLATFORM POINT-BELOW VIDEO TRANSLATE LAUNCH WILL
"Launching September 2024, our platform simplifies video translation and creation",NEW VIDEO TRANSLATION PLATFORM LAUNCH WHEN SEPT TWO-THOUSAND-TWENTY-FOUR WILL EASY CREATE SIGNING VIDEO
Sign up,JOIN
Products,PRODUCT
About us,ABOUT US WHAT
Partnership,PARTNER
Join the team,JOIN OUR TEAM
Contact us,CONTACT US
Be a part of the change with our AI Powered Sign Language Translator,INVOLVE FUTURE CHANGE HOW USE OUR AI SIGNING TRANSLATOR
Website Sign Language Translation,WEBSITE SIGNING TRANSLATION
Revolutionise your website's accessibility with our comprehensive BSL and ASL translation services,IMPROVE YOUR WEBSITE ACCESSIBILITY HOW USE OUR BSL ASL SIGNING TRANSLATION SERVICE
"Our Artificial Intelligence driven solution instantly translates your content into sign language, making it fully navigable for Deaf users",OUR AI THAT RECEPTIVE YOUR SCRIPT TRANSLATE SIGNING QUICK MEAN FULL ACCESS DEAF COMMUNITY
"Ensure your products and services are accessible to everyone, and create an inclusive online experience that stands out",MAKE-SURE YOUR PRODUCT ALSO SERVICE HAVE FULL ACCESS INCLUSIVE ALL
Video Sign Language Translator,VIDEO SIGNING TRANSLATOR
Unlock the full potential of your videos by adding BSL or ASL translations through our innovative Translation Suite,YOUR VIDEO IMPROVE HOW ADD BSL ASL SIGNING TRANSLATION USE OUR INNOVATION TRANSLATION LIST HAVE
"With a seamless picture-in-picture setup, Signapse technology ensures your content is accessible to Deaf individuals, going beyond standard captions",LARGE PICTURE-FRAME SMALL SCREEN-POP-OUT SIGNAPSE AIM MAKE-SURE YOUR CONTENT ACCESS ALL DEAF COMMUNITY NOT JUST SUBTITLES
Reach a wider audience and amplify your impact with our transformative video translation services,WE AIM ROLL-OUT COMMUNITY IMPROVE CHANGE USE OUR VIDEO TRANSLATION SERVICES
Transport Sign Language Translator,TRANSPORT SIGNING TRANSLATOR
Websites,WEBSITE
All Partners,PARTNER
"Launching September 2024, our platform simplifies video translation and creation",LAUNCH WHEN SEPT TWO-THOUSAND-TWENTY-FOUR OUR PLATFORM WILL EASY SIGNING TRANSLATION EASY CREATE
Sign up to be the first to know when we launch,JOIN US MEAN INFORM WHEN LAUNCH
Innovator of the Year Award (Ben Saunders) - University of Surrey's Vice-Chancellor Awards 2022,AWARD YEAR TWO-ZERO-TWO-TWO VICE CHANCELLOR FROM-WHERE UNIVERSITY OF SURREY AWARD WHAT-FOR INNOVATION OF YEAR WIN WHO BEN SAUNDERS
Start Up of the Year - Surrey Business Awards 2022,COMPANY SET-UP OF YEAR SURREY BUSINESS AWARD TWENTY-TWENTY-TWO
"Innovator of the Year Award (Sally Chalk), Highly Commended - Dynamic Awards 2023",AWARD TWO-ZERO-TWO-THREE DYNAMIC AWARD WHAT-FOR INNOVATION OF YEAR WIN WHO SALLY CHALK WHY ALP HIGHLY PRAISE
Tech4Good Award - Flutter Entertainment's Alpha Hub Awards 2023,TECH FOUR GOOD AWARD FLUTTER ENTERTAINMENT ALPHA HUB AWARD TWO-ZERO-TWO-THREE
The Mission,MISSION
"Our diverse team, composed of Deaf and hearing entrepreneurs, engineers, and researchers, is dedicated to creating cutting-edge AI sign language solutions",OUR TEAM WOW DIVERSE HAVE BOTH DEAF HEARING BUSINESS PEOPLE ENGINEERS ALSO RESEARCH WE DEDICATED CREATE WOW AI SIGNING
We specialise in providing seamless British Sign Language (BSL) and American Sign Language (ASL) translation and interpretation for clients who prioritise accessibility and inclusivity,WE EXPERT PROVIDE BOTH BSL ASL SIGNING TRANSLATION FOR-ALL CLIENTS THEY KEEN IMPROVE ACCESSIBILITY ALSO INCLUSION
More about us,MORE ABOUT US
Profoundly Deaf people worldwide,PROFOUND DEAF PEOPLE WORLD
Enhance your organisation's accessibility for Deaf people with our cutting-edge Generative AI sign language translation,IMPROVE YOUR COMPANY ACCESSIBILITY FOR-WHO DEAF COMMUNITY USE OUR AMAZING HIGH-QUALITY GENERATIVE AI SIGNING TRANSLATION
"Perfect for public space announcements, videos, and websites, our technology ensures accurate and engaging communication that makes a meaningful impact",THIS-POINT-DOWN PERFECT FOR-WHAT PUBLIC ANNOUNCE VIDEO ALSO WEBSITES OUR TECHNOLOGY MAKE-SURE RIGHT-ON-PALM ALSO HAVE POSITIVE CHANGE COMMUNITY
Book a demo,BOOK HAVE-A-LOOK DEMO
Extensive Sign Language Dataset,DATA SIGN-LANGUAGE COLLECT BIG
"Signapse harnesses a vast collection of sign language videos created by qualified translators, ensuring the highest level of accuracy in every translation",SIGNAPSE THEIR SIGNING VIDEO COLLECT BIG FROM-WHO QUALIFIED PERSON TRANSLATOR MAKE-SURE ALL TRANSLATION HIGH-QUALITY ACCURATE
Intelligent Video Selection,VIDEO INTELLIGENT SELECT
Get involved with us,COME JOIN US
We are seeking forward-thinking clients that aim to build the next generation of access for sign language users,WE SEEK CLIENTS BOTH INNOVATION DEVELOPMENT WHAT-FOR CREATE NEXT-FORWARD NEW PRODUCT ACCESS FOR-WHO SIGN-LANGUAGE USERS
"We value working with those who want to be a part of the future of equality, that are commercially astute and able to campaign and effect change from within their organisation",WE VALUE WORK CONNECT FUTURE WHAT-FOR EQUALITY NEED CAMPAIGN COMPANY CHANGE IMPROVE ACCESS
"If you would like to transform accessibility for sign language users at your business, please contact us",YOU WANT YOUR COMPANY IMPROVE ACCESSIBILITY PLEASE CONTACT
Partnerships,PARTNERSHIP
We share values; peerless quality of service and clarity of vision that includes cultural and linguistic ownership of sign by the Deaf Community,WE SHARE VALUE SERVICE QUALITY STANDARD OUR VISION CLEAR INCLUDE WHAT CULTURE ALSO LINGUISTIC OWNERSHIP FOR-WHO DEAF COMMUNITY
Click on any of our partners to learn more,CLICK-MOUSE ANY PARTNERSHIP HAVE-A-LOOK MORE INFORMATION
Become a partner,WANT JOIN US PARTNERSHIP
White papers,WHITE PAPER POLICY
Privacy Policy,PRIVATE POLICY
See current vacancies,HAVE-A-LOOK CURRENT JOB AVAILABLE
Signapse is an exciting and fast-growing funded startup bringing ?AI and Sign Language together,SIGNAPSE EXCITING ALSO FAST EXPAND FUND SET-UP COMPANY PUT-TOGETHER AI SIGNING
Our technology is grounded in world-leading computer vision research developed at the University of Surrey,OUR TECHNOLOGY ALP WORLD-LEAD COMPUTER VISION RESEARCH DEVELOP FROM-WHERE UNIVERSITY OF SURREY.
Our Generative AI product is being trialled with a number of major global brands that will bring life-enhancing benefits to sign language users and we already have significant contracts,OUR PRODUCT GENERATIVE AI TRAIL BEEN WITH GLOBAL BRAND-LABEL WHAT-FOR BENEFIT FOR-WHO DEAF COMMUNITY SIGNING IMPROVE WILL ALSO CONTRACT OTHERS WE APPROVE ALREADY.
Signapse is now onto its next phase and this is the holy grail: unconstrained translation for sign language,NOW SIGNAPSE PHASE FORWARD WHAT TRANSLATION SIGNING UNCONSTRAINED.
"To achieve this goal, we need to collect a large dataset of paired English sentences, sign language videos and sign annotations",GOAL ACHIEVE HOW DATA LARGE WE COLLECT MATCH SENTENCE ENGLISH BOTH VIDEO SIGN-LANGUAGE ALSO SIGNING ANNOTATE.
Why work for us,WHY-NOT WORK WITH US
"We offer competitive equity packages and a fully remote working environment, within a friendly and collaborative team culture, mixed with a drive for excellence and a passion to grow and succeed",WE OFFER MONEY PACKAGE-DRIVE ALSO FULL REMOTE WORK ENVIRONMENT TEAM FRIENDLY COLLABORATIVE ALSO KEEN AIM EXCELLENCE WE HAVE PASSION GROW SUCCESSFUL PROGRESS
Signapse is committed to eliminating discrimination and encouraging diversity in our team,SIGNAPSE THEIR AIM WHAT DISCRIMINATE REMOVE AS-WELL OUR TEAM ENCOURAGE DIVERSITY.
Our aim is that our team will truly represent all sections of society and each employee feels respected and able to give their best,FUTURE OUR AIM WHAT AREA OUR TEAM REPRESENT ALL AREA EACH EMPLOYEE FEEL RESPECT ALSO DO THEIR BEST
Current Vacancies,CURRENT JOB ROLE AVAILABLE
Deaf Translators,DEAF TRANSLATOR
In-House ASL Translator / Certified ?Deaf Interpreters (CDI),IN HOUSE ASL TRANSLATOR OR CERTIFICATE DEAF INTERPRETER SHORT CDI
Signapse is an exciting and fast-growing funded startup bringing AI and sign language together,SIGNAPSE EXCITING EXPAND SET-UP COMPANY AIM WHAT AI SIGNING CONNECT
Current organisation partnerships in the UK help us in working toward the common cause,ALL UK CURRENT ORGANISATION PARTNERSHIP GET-TOGETHER WORK-TOGETHER HELP GOAL WHAT DEAF ACCESSIBILITY
Partner with us,PARTNERSHIP WITH US
Thank you! Your submission has been received!,THANK SEND BEEN RECEIVE
Translate any transport announcement sign language in real-time,TRANSPORT ANNOUNCE ANY TRANSLATE SIGN-LANGUAGE REAL-TIME
"For many Deaf and hard of hearing individuals, navigating public spaces like airports and train stations can be a daunting task due to communication barriers",MANY INDIVIDUAL DEAF OR HEARING-LOSS GO-TO PUBLIC PLACE EXAMPLE AIRPORT TRAIN STATION NAVIGATE ALP DIFFICULT WHY COMMUNICATION BARRIERS
